hora,plataforma,impressoes,cliques,custo,conversoes,ctr,cpc
8,Google Ads,2094,460,48.241635,356.033336,21.967526265520533,0.1048731195652174
9,Google Ads,3252,714,82.85299,566.801129,21.95571955719557,0.11604060224089636
10,Google Ads,4164,897,106.532367,941.580067,21.54178674351585,0.11876518060200668
11,Google Ads,4623,1063,132.752626,855.883845,22.99372701708847,0.12488487864534337
12,Google Ads,5143,1318,163.618968,1043.328189,25.6270659148357,0.1241418573596358
13,Google Ads,4629,1122,125.767065,889.591087,24.23849643551523,0.11209185828877005
14,Google Ads,4186,967,113.184153,785.601194,23.100812231247016,0.11704669389865563
15,Google Ads,4085,936,105.235788,793.994985,22.913096695226436,0.11243139743589743
16,Google Ads,4299,986,118.155126,847.178536,22.935566410793207,0.11983278498985801
17,Google Ads,4493,1041,126.848153,985.422678,23.169374582684174,0.12185221229586936
18,Google Ads,4814,1175,137.70329,1096.517865,24.407976734524304,0.11719428936170213
19,Google Ads,4097,1025,112.680195,774.089153,25.01830607761777,0.10993189756097561
20,Google Ads,3053,788,80.606495,523.656356,25.810678021618084,0.10229250634517766
21,Google Ads,2163,564,58.20669,404.348237,26.0748959778086,0.10320335106382979
22,Google Ads,1185,319,30.41386,175.269051,26.919831223628695,0.0953412539184953
23,Google Ads,633,168,16.348433,101.597422,26.540284360189574,0.09731210119047619
0,Google Ads,632,170,14.182301,93.799998,26.89873417721519,0.08342530000000001
1,Google Ads,303,68,7.920133,36.166666,22.442244224422442,0.11647254411764706
2,Google Ads,205,46,6.277401,31.25,22.439024390243905,0.1364652391304348
3,Google Ads,138,38,4.012421,25.5,27.536231884057973,0.10559002631578947
4,Google Ads,138,20,4.014011,12.0,14.492753623188406,0.20070055
5,Google Ads,193,48,7.085723,39.311111,24.870466321243523,0.14761922916666667
6,Google Ads,606,149,19.344724,125.333334,24.58745874587459,0.12983036241610738
7,Google Ads,1407,301,36.887203,205.215611,21.393034825870647,0.12254884717607974
8,Google Ads,2487,545,60.583511,376.718661,21.913952553277042,0.11116240550458716
9,Google Ads,3808,846,100.933912,662.20194,22.21638655462185,0.11930722458628842
10,Google Ads,4883,1150,134.967798,929.497737,23.551095637927506,0.11736330260869564
11,Google Ads,5373,1284,159.43175,1099.370125,23.897264098269122,0.12416802959501558
12,Google Ads,6018,1525,186.292182,1253.629736,25.340644732469258,0.12215880786885246
13,Google Ads,5574,1376,157.296524,1089.636372,24.686042339433083,0.11431433430232558
14,Google Ads,5103,1207,130.886956,1026.782468,23.652753282382914,0.10843989726594863
15,Google Ads,5151,1200,154.246641,997.550357,23.296447291788002,0.12853886750000001
16,Google Ads,5080,1250,146.478682,946.43474,24.606299212598426,0.11718294559999999
17,Google Ads,5297,1275,169.780439,1042.945115,24.070228431187466,0.13316112862745097
18,Google Ads,5562,1453,179.489343,1162.142568,26.123696512046024,0.12353017412250515
19,Google Ads,4617,1175,141.156289,931.173895,25.449426034221357,0.1201330119148936
20,Google Ads,3472,829,95.542269,636.925198,23.87672811059908,0.11525002291917974
